ID,Nitrogen,Phosphorus,Potassium,Chlorophyll
1,2.96,0.22,1.78,476.6
2,3.11,0.48,2.74,492.17
3,2.94,0.39,2.45,428.91
4,3.62,0.41,1.94,554.8
5,2.48,0.27,1.41,425.94
6,2.55,0.35,2.27,584.36
7,3.35,0.55,2.28,528.39
8,2.87,0.32,1.95,530.21
9,3.17,0.45,2.47,421.68
10,1.77,0.27,1.58,333.16
11,2.29,0.23,1.55,353
12,3.44,0.41,2.42,538.51
13,3.61,0.6,2.76,529.97
14,3.35,0.43,3.31,582.27
15,2.49,0.29,2.34,511.51
16,2.23,0.26,2.04,433.11
17,2.95,0.57,3.96,545.09
18,3.65,0.56,2.31,588.51
19,3.01,0.3,2.95,521.27
20,3.49,0.26,2.84,562.67
21,3.35,0.45,3.08,583.84
22,3.96,0.38,3.06,581.62
23,2.53,0.32,2.21,440.08
24,2.4,0.3,2.31,425.89
25,3.77,0.46,2.55,495.08
26,4.17,0.64,3.93,513.86
27,2.72,0.4,2.41,524.23
28,3.15,0.46,2.28,499.21
29,3.65,0.36,2.86,575.38
30,3.11,0.39,2.15,461.41
31,3.1,0.41,2.71,435.69
32,3,0.44,2.98,489.1
33,2,0.25,1.57,370.41
34,4.15,0.46,2.65,599.89
35,2.39,0.38,1.25,456.07
36,4,0.3,2.45,589.21
37,3.14,0.36,2.53,545.8
38,3.31,0.46,2.45,410.09
39,2.06,0.25,1.84,305.62
40,2.46,0.25,2.3,351.54
41,3.06,0.33,2.62,457.52
42,2.89,0.47,1.85,378.03
43,3.75,0.57,1.83,619.28
44,3.1,0.37,2.17,515.79
45,3.73,0.43,2.58,653.58
46,2.96,0.32,2.22,512.27
47,3.17,0.71,2.28,521.01
48,4.11,0.61,2.78,565.72
49,4.17,0.42,2.42,609.54
50,3.31,0.47,2.53,474.48
51,2.77,0.43,3.66,551.63
52,3.15,0.29,1.5,536.89
53,3.13,0.32,2.39,580.22
54,2.58,0.48,3.24,597.17
55,2.28,0.24,1.84,338.9
56,2.36,0.26,2.1,419.06
57,4.21,0.57,3.02,542.22
58,3.25,0.3,1.83,493.93
59,3.25,0.3,1.83,516.52
60,3.56,0.64,2.31,591.81
61,2.91,0.79,3.8,553.03
62,2.84,0.35,2.25,460.98
63,2.95,0.47,2.6,447
64,3.46,0.51,2.95,598.66
65,2.92,0.38,2,561.23
66,4.17,0.54,2.49,637.74
67,3.12,0.32,2.31,580.54
68,3.48,0.55,3.03,546.14
69,2.72,0.5,2.38,376.3
70,3.18,0.38,2.54,597.67
71,3.2,0.51,2.63,465.33
72,3.5,0.54,2.47,556.53
73,2.89,0.23,2.37,524.96
74,3.05,0.42,3.51,304.01
75,3.55,0.41,2.68,547.3
76,3.74,0.42,2.38,610.12
77,4.12,0.46,2.51,525.88
78,3.03,0.4,1.73,586.96
79,3.46,0.4,2.94,585.84
80,3.66,0.5,2.35,528.26
81,3.37,0.56,2.45,519.33
82,2.92,0.35,3.08,600.46
83,3.61,0.56,2.55,616.38
84,2.94,0.41,2.96,554.77
85,3.49,0.62,2.56,608.56
86,1.87,0.32,1.61,402.94
87,3.16,0.32,2.99,574.97
88,2.9,0.33,2.81,482.97
89,2.57,0.28,2.32,471.96
90,3.48,0.38,1.68,559.33
91,3.1,0.34,2.22,533.53
92,3.05,0.41,2.42,462.34
93,3.25,0.42,2.08,527.02
94,2.9,0.27,2.1,535.12
95,2.49,0.52,3.33,258.99
96,2.58,0.25,2.38,307.36
97,3.54,0.44,2.49,626.48
98,3.1,0.36,3.66,613
99,2.09,0.18,2.1,299.83
100,3.25,0.44,3.05,256.53
101,3.94,0.51,3.3,258.89
102,3.28,0.28,1.82,498.61
103,3.51,0.34,1.28,622.06
104,3.17,0.49,2.92,616.87
105,3.24,0.54,2.99,501
106,2.91,0.29,4.55,451.17
107,3.77,0.44,2.41,391.81
108,2.83,0.37,1.7,535.97
109,3.74,0.46,1.95,547.57
110,3.5,0.75,3.13,544.96
111,3.7,0.7,2.64,561.11
112,1.99,0.26,1.58,404.57
113,3.45,0.68,4.08,509.29
114,3.14,0.85,2.32,548.86
115,3.48,0.47,3.4,422.28
116,3.86,0.46,2.69,538.4
117,3.94,0.83,3.11,615.76
118,3.63,0.65,2.31,505.04
119,2.73,0.36,2.14,433.63
120,3.25,0.43,2.76,392.54
121,2.97,0.45,2.58,372.1
122,3.19,0.65,2.73,454.71
123,4.11,0.32,3.14,584.17
124,3.35,0.47,2.49,520.8
125,2.99,0.43,2.79,320.84
126,3.14,0.3,2.29,468.57
127,3.98,0.56,2.68,579.52
128,3.76,0.43,3.57,595.37
129,2.8,0.24,2.15,526.43
130,2.65,0.32,1.82,460.23
131,3.55,0.39,2.83,509.39
132,2.81,0.39,2.08,484.32
133,3.71,0.42,2.64,401.27
134,3.31,0.24,1.69,482.58
135,3.42,0.46,2.1,512.51
136,3.71,0.63,2.78,382.72
137,4.07,0.3,1.91,617.5
138,3.33,0.37,2.73,588.91
139,2.82,0.27,2.34,459.72
140,3.45,0.37,3.09,494.4
141,3.51,0.73,3.47,458.33
142,2.39,0.42,2.41,424.5
143,1.27,0.24,1.8,107.9
144,2.94,0.59,2.42,532.44
146,1.76,0.34,2.35,218.44
148,1.58,0.42,2.16,237.26
149,1.92,0.38,2.5,199.43
150,1.55,0.28,2.77,219.23
151,1.55,0.28,2.77,219.23
152,1.92,0.38,2.5,199.43
169,1.58,0.29,2.39,211.31
172,1.9,0.34,2.88,312.03
173,2.99,0.45,2.03,482.37
175,2.21,0.28,2.32,332.29
177,2.22,0.61,2.41,351.12
180,1.37,0.47,2.34,201.62
182,2.52,0.41,2.13,444.84
184,1.84,0.46,1.6,302.52
185,1.42,0.29,2.05,237.83
188,1.48,0.25,2.05,235.39
190,1.99,0.42,2.24,324.74
192,1.66,0.32,2.36,314.19
194,1.87,0.32,1.83,315.81
195,1.5,0.26,2.65,253.41
197,1.55,0.27,2.65,226.6
200,1.93,0.31,1.86,312.46
201,1.49,0.26,2.07,269.21
203,1.57,0.41,2.24,223.13
206,1.7,0.35,2.21,198.58
208,2.09,0.39,2.15,290.23
210,1.97,0.32,3.32,278.17
211,1.41,0.27,2.58,198.24
214,1.45,0.26,2.87,225.31
215,1.44,0.29,2.18,230.63
218,1.1,0.24,2.38,160.17
220,1.79,0.33,2.89,309.71
222,1.31,0.28,2.83,210.38
224,1.48,0.35,3.06,194.21
225,1.92,0.42,2.59,231.91
228,1.52,0.3,2.63,244.19
229,1.66,0.33,2.77,263.61
232,1.19,0.32,2.57,176.44
234,1.8,0.3,2.33,351.42
236,1.71,0.24,2.32,282.55
237,1.73,0.32,2.79,203.1
240,1.57,0.26,2.76,198.52
242,2.26,0.61,2.6,421.08
244,1.66,0.34,2.4,213.72
245,1.4,0.36,3.11,242.78
247,1.47,0.29,2.05,230.59
249,2.05,0.44,2.03,344.31
251,2.47,0.41,2.69,346.27
254,1.81,0.24,2.79,299.16
255,1.36,0.21,1.76,204.69
256,1.94,0.3,2.25,287.14
257,1.53,0.25,1.91,290.09
258,1.68,0.26,2.98,292.43
259,1.31,0.23,1.9,207.46
260,2.21,0.32,1.74,363.87
261,1.79,0.32,2.41,324.68
262,1.6,0.24,1.68,274.22
263,1.57,0.27,2.13,271.17
264,2.91,0.45,2.48,512.97
265,2.32,0.28,1.77,292.77
266,2.53,0.51,2.17,460.77
267,1.66,0.26,1.83,248.28
268,1.84,0.29,1.6,416.92
269,1.6,0.26,2.25,287.52
270,1.77,0.32,1.64,320.56
271,2.06,0.37,2.17,348.49
272,1.63,0.21,1.42,251.78
273,1.78,0.23,1.85,387.4
274,2.21,0.34,1.82,374.86
275,1.88,0.23,2.03,286.98
276,1.77,0.26,1.79,269.42
277,2.14,0.26,2.57,312.69
278,1.89,0.25,2.33,303.82
279,2.41,0.4,2.66,196.23
280,1.88,0.37,2.65,274.68
281,1.62,0.3,2.36,204.9
282,1.94,0.29,2.47,260.48
283,1.84,0.24,1.95,310.69
284,1.75,0.25,2.27,264.58
285,1.59,0.26,2.11,247.86
286,1.56,0.47,3.25,220.49
287,1.69,0.24,2.31,252.13
288,1.98,0.25,2.02,334.04
289,1.26,0.5,2.46,212.59
290,1.98,0.31,3.4,263.2
291,1.27,0.38,3.36,155.53
292,1.86,0.28,2.46,263.3
293,1.44,0.17,2.25,219.51
294,1.81,0.25,2.39,244.79
295,1.81,0.41,2.22,262.52
296,1.93,0.34,2.84,325.17
297,1.8,0.3,2.86,240.9
298,2.92,0.35,2.55,357.8
299,1.5,0.21,2.69,219.5
300,1.72,0.29,2.92,299.84
301,1.38,0.18,2.6,187.16
302,2.17,0.35,2.65,366.67
303,2.3,0.3,2.31,313.4
304,2.26,0.32,2.56,328.38
305,1.97,0.32,2.18,265.68
306,2,0.4,2.16,322.02
307,1.94,0.29,2.14,269.37
308,1.93,0.28,2.01,312.6
309,1.81,0.34,2.28,273.58
310,1.84,0.27,2.31,263.84
311,1.8,0.33,1.89,256.13
312,1.68,0.35,2.37,209.48
313,1.95,0.25,1.96,337.44
314,1.41,0.24,2.05,257.87
315,1.97,0.25,1.5,339.46
316,1.61,0.26,1.93,205.93
317,2.17,0.35,1.79,287.28
318,2.12,0.43,2.4,271.24
319,1.79,0.31,2.15,183.18
320,1.76,0.27,2.36,238.49
321,2.03,0.52,2.54,202.08
322,1.8,0.33,2.39,179.16
323,1.86,0.22,1.8,221.33
324,1.74,0.29,2.33,240.27
325,1.84,0.25,2.11,236.7
326,2.03,0.33,2.3,233.46
327,1.74,0.34,2.15,287.94
328,2.52,0.29,2.45,298.16
329,2.05,0.38,1.98,375.47
330,2.22,0.41,2.5,195.73
331,1.75,0.27,2.66,175.3
332,0.85,0.37,2.18,257.64
333,2.63,0.37,2.17,409.69
334,2.02,0.29,2.99,297.82
335,2.08,0.31,2.13,316.4
336,1.97,0.21,2.06,292.96
337,2.03,0.26,2.08,232.07
338,2.53,0.34,2.75,341.07
339,1.81,0.28,2.94,285.88
340,2.21,0.39,2.31,276.14
341,1.48,0.37,2.92,187.11
342,2.15,0.3,2.44,331.67
343,1.85,0.24,2.5,235.53
344,2.02,0.44,2.81,267.47
345,1.97,0.41,2.9,217.67
346,1.8,0.23,2.79,240.28
347,1.63,0.36,3.1,118.48
348,1.95,0.24,2.76,256.94
349,1.88,0.32,1.99,306.66
350,1.91,0.3,2.17,304.7
351,1.62,0.28,2.22,269.87
352,1.67,0.22,1.88,208.63
353,1.43,0.32,2.45,222.24
354,1.44,0.3,1.97,226.5
355,1.24,0.33,2.3,210.38
356,1.38,0.2,2.02,247.47
357,1.49,0.27,2.36,250.53
358,1.43,0.4,2.91,375.06
359,1.36,0.22,2.46,273.33
360,1.49,0.25,2.18,154.03
361,1.32,0.2,1.95,314.73
362,1.87,0.36,2.48,349.63
363,2.78,0.36,2.35,239.23
364,1.61,0.26,2.04,258.07
365,0.85,0.24,2.16,225.29
366,1.86,0.45,2.48,292.87
367,2.14,0.56,2.18,308.06
368,1.49,0.41,2.46,238.36
369,1.89,0.53,2.88,274.19
370,1.01,0.38,2.19,277.54
371,1.07,0.32,2.4,228.21
372,1.59,0.34,1.94,277.09
373,1.45,0.24,1.86,297.46
374,1.5,0.34,2.6,232.72
375,1.22,0.33,2.97,186.31
376,0.99,0.33,2.84,180.83
377,1.05,0.38,3.13,179.14
378,1.23,0.32,2.72,227.23
379,0.99,0.41,2.3,212.61
380,1.05,0.29,2.69,197.63
381,0.68,0.27,3.08,207.3
382,1.56,0.24,1.92,258.3
383,1.81,0.28,2.95,211.87
384,2.18,0.54,1.86,337.13
385,2,0.3,2.15,363.88
386,1.39,0.34,2.77,192.51
387,1.63,0.31,2.47,252.59
388,1.26,0.23,2.31,190.58
389,1.93,0.37,2.29,310.76
390,1.53,0.26,2.18,264.19
391,1.78,0.42,3.61,231.43
392,1.33,0.32,3.06,201.78
393,1.46,0.27,2.47,261.59
394,1.69,0.33,2.8,222.09
395,1.72,0.36,2.77,221.88
396,1.69,0.21,2.61,281.89
397,1.88,0.3,1.99,328.57
398,1.56,0.44,2.9,241.71
399,1.6,0.27,1.77,258.98
400,1.38,0.24,1.67,211.22
401,1.4,0.24,1.82,242.03
402,1.55,0.24,2.33,198.14
403,1.69,0.42,1.89,224.63
404,1.32,0.27,2.16,205.38
405,1.25,0.24,2.02,213.58
406,1.5,0.28,1.98,325.22
407,1.31,0.24,2.43,180.82
408,1.35,0.21,2,237.74
409,1.1,0.18,1.88,193.04
410,1.6,0.31,1.71,247.28
411,1.57,0.22,1.56,288.4
412,1.36,0.29,1.49,193.27
413,1.41,0.23,2.19,227.14
414,1.81,0.29,2.35,270.56
415,1.48,0.27,1.59,224.33
416,1.54,0.3,2.11,239.89
417,1.51,0.42,1.88,292.21
418,1.51,0.32,2.45,247.82
419,1.77,0.32,2.22,210.54
420,1.18,0.28,2.1,215.98
421,1.25,0.5,2.85,167.72
422,1.71,0.38,2.11,232.69
423,1.62,0.32,2.37,186.08
424,1.56,0.32,2.88,217.88
425,1.55,0.39,2.3,277.74
426,1.55,0.24,2,277
427,1.48,0.33,2.2,249.93
428,1.15,0.26,1.96,224.57
429,1.46,0.32,2.04,208.28
430,1.71,0.43,2.13,230.48
431,1.81,0.46,2.39,246.42
432,1.92,0.43,2.01,314.86
433,1.77,0.46,2.49,282.83
434,1.86,0.41,2.57,287.7
435,2.82,0.43,1.95,378.38
436,2.03,0.32,2.34,326.54
437,1.91,0.4,2.58,295.39
438,1.86,0.33,2.17,346.34
439,1.59,0.24,2.21,258.27
440,1.68,0.34,2.65,234.92
441,1.58,0.31,2.06,233.76
442,1.84,0.43,2.63,243.04
443,1.95,0.25,2.81,285.37
444,1.85,0.38,2.59,229.72
445,1.36,0.37,2.06,220.72
446,1.36,0.29,1.96,217.32
447,1.86,0.31,2.58,228.41
448,1.46,0.53,2.3,256.99
449,1.19,0.25,2.5,117.24
450,1.48,0.33,2.21,204.49
451,1.34,0.39,2.54,159.69
452,1.55,0.28,1.91,254.57
453,1.53,0.34,2.3,245.14
454,1.98,0.34,2.65,195.72
455,1.65,0.37,2.08,237.89
456,1.81,0.26,2.5,215.06
457,1.95,0.31,2.52,236.49
458,1.91,0.31,2.42,262.9
459,2.27,0.54,2.29,337.14
460,1.97,0.35,1.75,326.06
