Leaf Structure Index,Chlorophyll index,Water index,Cellulose Absorption Index,Nitrogen Related Index NRI1510,Nitrogen Related Index NRI850,Disease Water Stress Index 1,Disease Water Stress Index 2,Disease Water Stress Index 3,Disease Water Stress Index 4,Chlorophyll content
9.967958890000000460e-01,3.575710665999999982e+00,1.054768499999999935e-02,-4.135363349999999771e-01,5.328719600000000334e-01,7.738139529999999988e-01,1.422058156999999934e+00,2.857900519000000195e+00,5.632857747000000082e+00,1.970977544999999997e+00,1.252166700000000021e-01
9.866685389999999556e-01,4.122166806000000072e+00,1.134077699999999980e-02,-4.508875230000000123e-01,5.537377049999999690e-01,8.002225840000000145e-01,1.471218182000000096e+00,3.140757858000000180e+00,5.951048598999999939e+00,1.894781091000000028e+00,1.343330970000000124e-01
9.859919129999999976e-01,3.602566545000000175e+00,1.291355999999999928e-02,-4.091021360000000051e-01,4.699754179999999781e-01,7.604244829999999844e-01,1.498308293000000013e+00,2.725708712999999950e+00,4.926625135000000100e+00,1.807465746999999956e+00,1.152866439999999937e-01
9.962790660000000464e-01,3.718781841999999838e+00,8.986533999999999148e-03,-3.896805489999999872e-01,5.182561199999999868e-01,7.527273770000000308e-01,1.381157726999999946e+00,3.125949245999999793e+00,5.134150728999999913e+00,1.642429330999999992e+00,1.021335540000000014e-01
9.885209820000000480e-01,3.489054369000000211e+00,1.135106100000000083e-02,-4.287048540000000241e-01,5.275935569999999908e-01,7.761341680000000132e-01,1.442884947000000029e+00,2.689472419999999975e+00,5.752203308000000348e+00,2.138785014999999845e+00,1.272677289999999961e-01
9.875359679999999862e-01,3.710500167000000182e+00,1.049730800000000033e-02,-4.044841579999999825e-01,5.569855489999999687e-01,7.814728020000000219e-01,1.418160772000000014e+00,3.030330832999999835e+00,5.949096132000000203e+00,1.963183711999999970e+00,1.196170770000000022e-01
9.906165110000000329e-01,4.216366633999999891e+00,1.204930000000000063e-02,-4.462850429999999924e-01,5.498042480000000509e-01,7.974849960000000015e-01,1.442792811999999980e+00,3.421451873000000088e+00,6.228204417999999798e+00,1.820339624000000045e+00,1.155517920000000004e-01
1.004371705999999920e+00,3.829344337999999848e+00,1.079724999999999956e-02,-4.199826090000000067e-01,5.478859560000000073e-01,7.893030570000000301e-01,1.452861704000000032e+00,3.082356011999999978e+00,6.115650160999999585e+00,1.984082998999999958e+00,1.177841059999999995e-01
1.000115893999999894e+00,3.677584953000000212e+00,1.332460599999999926e-02,-4.424862509999999971e-01,4.832420669999999974e-01,7.779381499999999949e-01,1.533824878999999974e+00,2.729264437999999959e+00,5.466821883999999798e+00,2.003038549999999862e+00,1.139533479999999960e-01
9.946634279999999606e-01,2.939676190000000133e+00,1.118954999999999950e-02,-4.108066280000000070e-01,4.839229440000000215e-01,7.472473600000000271e-01,1.440262007000000066e+00,2.197211918999999902e+00,5.259394862999999809e+00,2.393667546000000090e+00,1.320836549999999943e-01
9.909253000000000089e-01,3.381756231999999862e+00,1.057222900000000070e-02,-4.250382819999999895e-01,5.172031099999999659e-01,7.703150290000000400e-01,1.456534170000000072e+00,2.547078971999999997e+00,5.549847373999999611e+00,2.178906674999999904e+00,1.289748749999999888e-01
1.008874006999999962e+00,3.753049838999999999e+00,1.058683600000000051e-02,-4.046384769999999964e-01,5.039426849999999458e-01,7.616908660000000220e-01,1.416433856000000047e+00,3.173743539999999808e+00,5.301938414000000321e+00,1.670562963999999928e+00,9.572570099999999638e-02
9.937124889999999766e-01,3.895335762999999840e+00,1.051262099999999977e-02,-4.081016829999999929e-01,5.331173500000000454e-01,7.715145979999999959e-01,1.408057703999999966e+00,3.231820275000000020e+00,5.507054619999999900e+00,1.704010170999999962e+00,1.020496909999999979e-01
9.920064130000000313e-01,4.859296893999999867e+00,1.212768799999999932e-02,-4.604768859999999742e-01,5.787089949999999483e-01,8.208494119999999450e-01,1.499766766999999890e+00,3.761333630000000205e+00,6.560479420000000061e+00,1.744189712000000059e+00,1.244320960000000059e-01
1.004034026000000024e+00,4.263348555000000317e+00,1.032195699999999966e-02,-4.530612860000000075e-01,5.903922759999999936e-01,8.160968039999999535e-01,1.440831036999999926e+00,3.361351879999999959e+00,6.807423137999999874e+00,2.025203959999999803e+00,1.377073809999999898e-01
9.932330959999999820e-01,3.347262299000000052e+00,1.071395300000000002e-02,-3.958581290000000030e-01,5.029135120000000070e-01,7.504981979999999497e-01,1.418989062999999939e+00,2.610014388000000185e+00,5.075726268999999569e+00,1.944711987999999891e+00,1.209403359999999955e-01
9.967102020000000451e-01,3.598889740999999809e+00,1.063886600000000029e-02,-4.020681480000000141e-01,5.163475269999999728e-01,7.597849370000000491e-01,1.404214590999999901e+00,2.963419808999999905e+00,5.296211753999999772e+00,1.787195907000000084e+00,1.063865900000000031e-01
9.919634290000000076e-01,4.067619434000000034e+00,9.674685000000000576e-03,-3.973719669999999926e-01,5.409540710000000363e-01,7.724330569999999785e-01,1.405384334000000068e+00,3.450740446999999822e+00,5.449586913000000088e+00,1.579251466999999964e+00,9.738666199999999884e-02
9.898952770000000179e-01,3.673800319000000147e+00,9.437195000000000653e-03,-4.082370430000000217e-01,5.354884490000000330e-01,7.642691320000000177e-01,1.376464407000000056e+00,3.005117756999999834e+00,5.552582799999999708e+00,1.847708890999999909e+00,1.153325119999999981e-01
9.928597970000000439e-01,3.964339160000000195e+00,8.765623999999999638e-03,-4.289734610000000004e-01,5.846441310000000113e-01,7.920526190000000133e-01,1.355221365000000011e+00,3.360761081999999789e+00,6.467892574000000394e+00,1.924532096999999942e+00,1.214664560000000004e-01
9.869558849999999772e-01,4.048296750000000443e+00,1.060520199999999934e-02,-4.337736460000000127e-01,5.377496680000000140e-01,7.835323899999999675e-01,1.418731530999999935e+00,3.419998155000000040e+00,5.860806988000000217e+00,1.713687178000000033e+00,1.009321489999999988e-01
9.846045960000000541e-01,3.863317417999999837e+00,1.185712000000000051e-02,-4.099992000000000081e-01,5.180177289999999823e-01,7.718132749999999653e-01,1.444642954999999951e+00,3.094324949000000213e+00,5.463706207999999620e+00,1.765718305999999904e+00,1.115499989999999969e-01
9.869991729999999519e-01,3.590679183000000219e+00,1.041125700000000015e-02,-4.526848250000000129e-01,5.606179369999999551e-01,7.928534409999999921e-01,1.423097913000000103e+00,2.795906749999999885e+00,6.299767581000000227e+00,2.253210904999999986e+00,1.415410629999999947e-01
